earthquake_id,title,magnitude,depth,latitude,longitude,Year,date_time,cdi,mmi,tsunami,sig,dmin,gap,nst,magType
53,"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,622.73,-9.0618,-71.1647,2022,6/8/2022 0:55,3,2,0,653,1.999,31,236,mww
54,"M 7.2 - 10 km W of Azángaro, Peru",7.2,236.00,-14.8628,-70.3081,2022,5/26/2022 12:02,7,5,1,876,2.494,40,144,mww
55,M 6.9 -,6.9,10.00,-54.1325,159.027,2022,5/19/2022 10:13,2,5,1,733,0.371,45,127,mww
56,"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,220.00,-23.6141,-66.7236,2022,5/10/2022 23:06,6,5,1,762,1.505,30,162,mww
57,"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,27.00,11.5538,-86.9919,2022,4/21/2022 7:42,6,5,1,762,0.914,94,0,mww
58,M 7.0 - southeast of the Loyalty Islands,7.0,10.00,-22.5732,170.349,2022,3/31/2022 5:44,6,4,1,763,2.705,26,0,mww
59,"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,10.00,-22.72,170.277,2022,3/30/2022 20:56,6,4,1,738,2.697,42,0,mww
60,"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,24.00,23.3421,121.636,2022,3/22/2022 17:41,8,7,1,806,0.289,32,0,mww
61,"M 7.3 - 57 km ENE of Namie, Japan",7.3,41.00,37.7015,141.587,2022,3/16/2022 14:36,9,8,1,2397,2.936,29,0,mww
62,"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,28.00,-0.6831,98.6034,2022,3/13/2022 21:09,9,6,0,708,2.188,43,0,mww
63,"M 6.6 - Kermadec Islands, New Zealand",6.6,24.00,-30.0528,-177.74,2022,3/2/2022 12:52,2,7,1,670,0.827,46,0,mww
64,M 6.8 - south of the Fiji Islands,6.8,535.00,-23.7852,-179.968,2022,2/16/2022 20:21,2,3,1,712,5.78,12,0,mww
65,"M 6.5 - 49 km NW of Barranca, Peru",6.5,110.00,-4.455,-76.9395,2022,2/3/2022 15:58,8,6,0,690,3.026,22,0,mww
66,M 6.5 - Kermadec Islands region,6.5,8.00,-29.535,-176.729,2022,1/29/2022 2:46,7,4,1,651,1.088,57,0,mww
67,"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,33.00,-6.9291,105.251,2022,1/14/2022 9:05,8,6,0,785,2.418,22,0,mww
68,"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,37.00,52.502,-168.08,2022,1/11/2022 12:39,0,3,1,650,1.61607,108,97,Mi
69,"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,37.00,52.502,-168.08,2022,1/11/2022 12:39,0,3,1,650,0,208.8,23,Mi
70,"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,19.00,52.6252,-168.15,2022,1/11/2022 12:39,8,5,1,674,0.507,49,0,mww
71,"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,33.00,52.48,-167.736,2022,1/11/2022 11:35,0,4,1,691,0.936943,126,50,Mi
72,"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,33.00,52.48,-167.736,2022,1/11/2022 11:35,0,4,1,691,0,205.2,20,Mi
73,"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,20.00,52.6563,-167.917,2022,1/11/2022 11:35,7,6,1,730,0.92,61,0,mww
74,"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,21.00,35.1456,31.9095,2022,1/11/2022 1:07,6,6,0,976,1.168,21,0,mww
75,"M 6.6 - northern Qinghai, China",6.6,13.00,37.8167,101.299,2022,1/7/2022 17:45,9,8,0,1012,2.685,13,0,mww
76,"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,165.49,-7.5924,127.581,2021,12/29/2021 18:25,8,7,0,921,3.713,19,0,mww
77,M 7.3 - Flores Sea,7.3,14.27,-7.6033,122.2,2021,12/14/2021 3:20,9,5,1,854,1.025,32,0,mww
78,"M 7.5 - 43 km NNW of Barranca, Peru",7.5,126.00,-4.4898,-76.8461,2021,11/28/2021 10:52,8,8,1,1094,4.951,40,0,mww
79,"M 6.6 - 177 km SE of Hirara, Japan",6.6,12.00,23.5414,126.48,2021,11/10/2021 15:45,7,4,1,688,3.259,15,0,mww
80,"M 6.9 - 112 km E of Chignik, Alaska",6.9,51.60,56.2581,-156.492,2021,10/11/2021 9:10,8,6,1,995,0,0,0,mww
81,M 6.9 - Vanuatu region,6.9,535.00,-21.1704,174.54,2021,10/9/2021 10:58,4,3,1,740,4.778,31,0,mww
82,M 7.3 - Vanuatu region,7.3,527.00,-21.1036,174.895,2021,10/2/2021 6:29,4,4,1,826,4.493,32,0,mww
83,"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,21.00,12.1598,-87.8542,2021,9/22/2021 9:57,7,5,1,684,0.993,114,0,mww
84,"M 7.0 - Acapulco, Mexico",7.0,20.00,16.9502,-99.7877,2021,9/8/2021 1:47,8,8,1,2504,0.07,43,0,mww
85,M 7.1 - South Sandwich Islands region,7.1,6.00,-60.3026,-24.9992,2021,8/22/2021 21:33,1,4,1,776,9.799,32,0,mww
86,M 6.6 - South Sandwich Islands region,6.6,7.00,-60.1023,-24.4608,2021,8/22/2021 0:45,1,3,1,670,8.865,19,0,mww
87,"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,93.00,-14.892,167.085,2021,8/18/2021 10:10,8,7,1,741,0.579,54,0,mww
88,M 6.9 - South Sandwich Islands region,6.9,16.70,-58.3814,-23.3318,2021,8/16/2021 11:10,6,4,1,734,8.363,48,0,mww
89,"M 7.2 - Nippes, Haiti",7.2,10.00,18.3521,-73.4804,2021,8/14/2021 12:29,9,8,1,2331,1.178,23,0,mww
90,"M 6.9 - 136 km SE of Perryville, Alaska",6.9,33.30,55.2364,-157.707,2021,8/14/2021 11:57,5,4,1,738,0,0,0,mww
91,"M 6.9 - 125 km SE of Perryville, Alaska",6.9,20.74,55.2657,-157.68,2021,8/14/2021 11:57,5,4,1,738,1.173,36,0,mww
92,M 8.1 - South Sandwich Islands region,8.1,22.79,-58.4157,-25.3206,2021,8/12/2021 18:35,0,7,0,1009,7.463,78,0,mww
93,M 7.5 - South Sandwich Islands region,7.5,47.23,-57.5959,-25.1874,2021,8/12/2021 18:32,9,6,1,868,7.227,38,0,mww
94,"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,55.14,6.4547,126.742,2021,8/11/2021 17:46,9,7,1,846,1.273,25,0,mww
95,"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,46.66,55.4742,-157.917,2021,7/29/2021 6:15,8,6,1,1237,0.875,66,0,mww
96,"M 8.2 - 99 km SE of Perryville, Alaska",8.2,35.00,55.3154,-157.829,2021,7/29/2021 6:15,8,7,1,1252,0,0,0,mww
97,"M 6.7 - 15 km S of Hukay, Philippines",6.7,110.00,13.6989,120.713,2021,7/23/2021 20:48,8,5,1,935,8.139,12,0,mww
98,"M 6.7 - 71 km S of Burica, Panama",6.7,10.00,7.5904,-82.8813,2021,7/21/2021 21:15,6,6,1,830,1.395,61,0,mww
99,"M 6.5 - Kermadec Islands, New Zealand",6.5,25.00,-30.2144,-177.773,2021,6/20/2021 17:05,0,4,1,650,7.994,24,0,mww
100,"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,10.00,-16.4796,-177.356,2021,5/21/2021 22:13,5,7,1,652,4.518,44,0,mww
101,"M 7.3 - Southern Qinghai, China",7.3,10.00,34.5861,98.2551,2021,5/21/2021 18:04,9,9,0,1025,4.655,9,0,mww
102,"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,11.00,0.1684,96.6475,2021,5/14/2021 6:33,8,4,0,698,1.487,37,0,mww
103,M 6.7 - Mauritius - Reunion region,6.7,10.00,-17.2495,66.3745,2021,5/12/2021 14:05,9,3,0,694,10.669,45,0,mww
104,M 6.9 -,6.9,43.00,38.2296,141.665,2021,5/1/2021 1:27,7,6,1,919,2.619,35,0,mww
105,"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,246.00,-21.6857,-177.064,2021,4/25/2021 22:28,4,4,0,651,5.931,20,0,mww
106,"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,301.00,-18.9204,-176.235,2021,4/24/2021 0:23,6,4,0,652,10.405,19,0,mww
107,"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,43.00,38.4752,141.607,2021,3/20/2021 9:09,7,7,1,1052,2.378,35,0,mww
108,"M 6.6 - 171 km SSE of Ust-Kamchatsk Staryy, Russia",6.6,13.23,54.7018,163.208,2021,3/16/2021 18:38,5,5,1,672,3.183,18,0,mww
109,M 6.5 - Kermadec Islands region,6.5,24.00,-28.4792,-176.619,2021,3/4/2021 23:12,0,4,0,650,11.764,25,0,mwb
110,"M 8.1 - Kermadec Islands, New Zealand",8.1,28.93,-29.7466,-177.224,2021,3/4/2021 19:28,9,8,1,1021,0.739,21,0,mww
111,"M 7.4 - Kermadec Islands, New Zealand",7.4,43.00,-29.6131,-177.842,2021,3/4/2021 17:41,3,7,1,843,0.437,30,0,mww
112,"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,10.00,-37.596,179.544,2021,3/4/2021 13:27,7,6,1,932,0.918,24,0,mww
113,"M 7.1 - 73 km ENE of Namie, Japan",7.1,43.98,37.6856,141.992,2021,2/13/2021 14:07,9,8,1,1612,3.085,11,0,mww
114,M 7.7 - southeast of the Loyalty Islands,7.7,10.00,-23.2787,171.489,2021,2/10/2021 13:19,9,4,1,918,7.989,15,0,mww
115,M 6.9 - South Shetland Islands,6.9,15.00,-61.8484,-55.559,2021,1/23/2021 23:36,9,5,1,739,1.55,16,0,mww
116,"M 7.0 - 211 km SE of Pondaguitan, Philippines",7.0,80.00,5.0074,127.517,2021,1/21/2021 12:23,7,5,1,802,2.821,15,0,mww
117,"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,10.00,51.2407,100.443,2021,1/11/2021 21:32,8,8,0,776,2.043,22,0,mww
118,"M 6.7 - 146 km WNW of Corral, Chile",6.7,10.00,-39.3264,-74.9067,2020,12/27/2020 21:39,5,5,1,776,1.319,19,0,mww
119,"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,21.00,37.8973,26.7953,2020,10/30/2020 11:51,8,7,0,1527,1.518,18,0,mww
120,"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,28.37,54.662,-159.675,2020,10/19/2020 20:54,9,7,1,1165,0.23,36,0,mww
121,M 6.9 - central Mid-Atlantic Ridge,6.9,10.00,0.9604,-26.8332,2020,9/18/2020 21:43,0,3,1,732,11.255,16,0,mww
122,"M 6.5 - 94 km NW of Vallenar, Chile",6.5,16.00,-27.9285,-71.3937,2020,9/1/2020 21:09,6,6,0,674,0.388,49,0,mww
123,"M 6.8 - 86 km NW of Vallenar, Chile",6.8,21.00,-28.013,-71.1958,2020,9/1/2020 4:09,6,7,1,824,0.312,69,0,mww
124,M 6.5 - central Mid-Atlantic Ridge,6.5,10.00,0.8696,-29.7046,2020,8/30/2020 21:20,4,5,0,651,15.394,31,0,mww
125,"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,624.00,-6.6704,123.493,2020,8/21/2020 4:09,4,3,0,749,2.267,20,0,mww
126,"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,26.00,-4.2791,101.215,2020,8/18/2020 22:29,4,4,0,735,1.716,25,0,mww
127,"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,22.00,-4.3724,101.095,2020,8/18/2020 22:23,5,4,0,716,1.816,34,0,mww
128,"M 6.6 - 13 km E of San Pedro, Philippines",6.6,10.00,12.0065,124.13,2020,8/18/2020 0:03,9,8,1,784,5.128,14,0,mww
129,"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,28.00,55.1079,-158.477,2020,7/22/2020 6:12,9,7,1,1111,0.621,60,0,mww
130,"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,73.00,-7.847,147.755,2020,7/17/2020 2:50,6,7,1,820,1.671,18,0,mww
131,"M 6.6 - 97 km N of Batang, Indonesia",6.6,533.76,-5.6368,110.678,2020,7/6/2020 22:54,4,2,0,684,1.458,14,0,mww
132,"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,20.00,15.9163,-95.9533,2020,6/23/2020 15:29,8,8,1,1494,0.151,30,0,mww
133,M 7.4 - south of the Kermadec Islands,7.4,10.00,-33.2938,-177.838,2020,6/18/2020 12:49,7,7,1,873,4.035,23,0,mww
134,"M 6.6 - 130 km WNW of Naze, Japan",6.6,165.00,28.9386,128.262,2020,6/13/2020 15:51,5,4,1,734,2.015,18,0,mww
135,"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,112.00,-23.2966,-68.4204,2020,6/3/2020 7:35,6,6,1,835,1.164,21,0,mww
136,"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,2.70,38.1689,-117.85,2020,5/15/2020 11:03,7,8,0,1320,0.357,55.79,27,ml
137,"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,107.00,-12.0662,166.648,2020,5/12/2020 22:41,4,6,1,671,3.403,12,0,mww
138,M 6.8 - Banda Sea,6.8,96.00,-6.7762,129.785,2020,5/6/2020 13:53,4,6,0,738,1.921,16,0,mww
139,"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,10.00,34.1818,25.7101,2020,5/2/2020 12:51,7,6,0,678,1.293,19,0,mww
140,"M 6.5 - Stanley, Idaho",6.5,12.06,44.4646,-115.118,2020,3/31/2020 23:52,8,8,0,1410,0.885,31,0,mww
141,"M 7.5 - 221 km SSE of Severo-Kurilsk, Russia",7.5,57.80,48.9638,157.695,2020,3/25/2020 2:49,6,5,1,879,4.109,12,0,mww
142,"M 7.0 - 95 km ENE of Kurilsk, Russia",7.0,143.00,45.6161,148.959,2020,2/13/2020 10:33,5,6,1,770,4.501,25,0,mww
143,"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,14.86,19.4193,-78.756,2020,1/28/2020 19:10,9,6,1,1812,1.657,26,0,mww
144,"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,10.00,38.4312,39.0609,2020,1/24/2020 17:55,8,9,0,1247,0.87,49,0,mww
145,"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,18.00,6.6969,125.174,2019,12/15/2019 6:11,9,7,1,825,0.546,39,0,mww
146,"M 7.1 - 138km E of Bitung, Indonesia",7.1,33.00,1.6213,126.416,2019,11/14/2019 16:17,6,6,1,799,1.271,11,0,mww
147,"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,577.00,-21.9449,-179.511,2019,11/8/2019 10:44,0,2,0,650,4.765,25,0,mww
148,"M 6.6 - 136 km W of Neiafu, Tonga",6.6,10.00,-18.5747,-175.272,2019,11/4/2019 22:43,4,4,1,673,5.086,48,0,mww
149,"M 6.5 - 2km ESE of Kisante, Philippines",6.5,10.00,6.9098,125.178,2019,10/31/2019 1:11,9,7,1,733,0.428,19,0,mww
150,"M 6.6 - 10 km NE of Columbio, Philippines",6.6,15.00,6.7567,125.008,2019,10/29/2019 1:04,9,7,1,780,0.646,24,0,mww
151,"M 6.7 - 70 km WSW of Constitución, Chile",6.7,11.00,-35.4758,-73.163,2019,9/29/2019 15:57,7,6,1,844,1.269,98,0,mww
152,"M 6.5 - 11km S of Kairatu, Indonesia",6.5,12.26,-3.4528,128.37,2019,9/25/2019 23:46,7,7,1,656,3.909,15,0,mww
153,"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,591.00,-20.3641,-178.57,2019,9/1/2019 15:54,2,3,1,671,4.121,19,0,mww
154,"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,16.00,-60.2152,-26.5801,2019,8/27/2019 23:55,0,4,1,670,12.896,19,0,mww
155,"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,49.00,-7.2822,104.791,2019,8/2/2019 12:03,4,6,0,875,2.839,23,0,mww
156,"M 6.8 - 96 km SW of San Antonio, Chile",6.8,25.00,-34.2364,-72.3102,2019,8/1/2019 18:28,6,6,1,947,0.817,35,0,mww
157,"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,181.00,-16.1985,167.998,2019,7/31/2019 15:02,0,4,1,670,6.024,30,0,mww
158,"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,18.98,-0.5858,128.034,2019,7/14/2019 9:10,7,7,1,809,1.504,38,0,mww
159,"M 6.6 - 200km W of Broome, Australia",6.6,10.00,-18.2242,120.358,2019,7/14/2019 5:39,5,5,0,791,2.978,32,0,mww
160,"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,35.00,0.5126,126.189,2019,7/7/2019 15:08,7,5,0,747,1.205,21,0,mww
161,"M 7.1 - 18km W of Searles Valley, CA",7.1,8.00,35.7695,-117.599,2019,7/6/2019 3:19,9,9,0,1646,0.04616,43,77,mw
162,"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,212.00,-6.4078,129.169,2019,6/24/2019 2:53,4,6,1,952,2.629,16,0,mww
163,"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,46.00,-30.6441,-178.1,2019,6/15/2019 22:55,8,6,1,830,1.402,11,0,mww
164,"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,57.92,13.1994,-89.3056,2019,5/30/2019 9:03,7,6,1,886,1.193,22,0,mww
165,"M 8.0 - 78 km NE of Navarro, Peru",8.0,122.57,-5.8119,-75.2697,2019,5/26/2019 7:41,9,8,1,1890,3.18,17,0,mww
166,"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,10.00,-4.051,152.597,2019,5/14/2019 12:58,7,7,1,929,0.453,16,0,mww
167,"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,146.00,-6.9746,146.449,2019,5/6/2019 21:19,7,6,1,826,2.514,16,0,mww
168,"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,15.46,-1.8146,122.58,2019,4/12/2019 11:40,5,6,1,717,0.791,28,0,mww
169,"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,38.00,-58.6262,-25.304,2019,4/9/2019 17:53,0,5,1,650,7.568,18,0,mww
170,"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,267.00,-14.7131,-70.1546,2019,3/1/2019 8:50,7,4,1,869,2.501,42,0,mww
171,"M 7.5 - 111km ESE of Palora, Ecuador",7.5,145.00,-2.1862,-77.0505,2019,2/22/2019 10:17,7,7,1,1145,2.045,15,0,mww
172,"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,66.00,14.6802,-92.4527,2019,2/1/2019 16:14,6,6,1,909,0.289,43,0,mww
173,M 6.7 - Prince Edward Islands region,6.7,13.00,-43.1219,42.3568,2019,1/22/2019 19:01,0,3,0,691,7.527,17,0,mww
174,"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,63.00,-30.0404,-71.3815,2019,1/20/2019 1:32,8,8,1,1600,0.173,22,0,mww
175,"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,35.00,-13.336,166.875,2019,1/15/2019 18:06,5,4,1,671,7.818,18,0,mww
176,M 6.6 - Molucca Sea,6.6,43.21,2.258,126.758,2019,1/6/2019 17:27,2,4,1,672,1.596,33,0,mww
177,"M 6.8 - 90km W of Tarauaca, Brazil",6.8,570.41,-8.144,-71.587,2019,1/5/2019 19:25,3,3,0,715,1.181,16,0,mww
178,"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7.0,60.21,5.8983,126.921,2018,12/29/2018 3:39,5,5,1,803,1.769,21,0,mww
